Tool Findings (normalized)
===========================
Ground truth : mixed_ground_truth_dataset_20260127T135449Z_103_174
Tool         : github
Run ID       : 20260127T200427Z
Total        : 544 findings

Ecosystem  | Component                            | Version  | CVE               | GHSA                 | OSV-ID  | Affected-Range                      | Source             
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
maven      | ch.qos.logback:logback-core          | 1.5.15   | CVE-2026-1225     | GHSA-QQPG-MVQG-649V  | -       | < 1.5.25                            | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.15   | CVE-2025-11226    | GHSA-25QH-J22F-PWP8  | -       | < 1.3.16                            | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.15   | CVE-2024-12801    | GHSA-6V67-2WR5-GVF4  | -       | < 1.3.15                            | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.15   | CVE-2024-12798    | GHSA-PR98-23F8-JWXV  | -       | < 1.3.15                            | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.15   | CVE-2023-6481     | GHSA-GM62-RW4G-VRC4  | -       | = 1.2.12                            | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.15   | CVE-2023-6378     | GHSA-VMQ6-5M68-F53M  | -       | < 1.2.13                            | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.15   | CVE-2021-42550    | GHSA-668Q-QRV7-99FM  | -       | < 1.2.9                             | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.15   | CVE-2017-5929     | GHSA-VMFG-RJJM-RJRJ  | -       | < 1.2.0                             | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.16   | CVE-2026-1225     | GHSA-QQPG-MVQG-649V  | -       | < 1.5.25                            | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.16   | CVE-2025-11226    | GHSA-25QH-J22F-PWP8  | -       | < 1.3.16                            | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.16   | CVE-2024-12801    | GHSA-6V67-2WR5-GVF4  | -       | < 1.3.15                            | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.16   | CVE-2024-12798    | GHSA-PR98-23F8-JWXV  | -       | < 1.3.15                            | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.16   | CVE-2023-6481     | GHSA-GM62-RW4G-VRC4  | -       | = 1.2.12                            | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.16   | CVE-2023-6378     | GHSA-VMQ6-5M68-F53M  | -       | < 1.2.13                            | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.16   | CVE-2021-42550    | GHSA-668Q-QRV7-99FM  | -       | < 1.2.9                             | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.16   | CVE-2017-5929     | GHSA-VMFG-RJJM-RJRJ  | -       | < 1.2.0                             | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.17   | CVE-2026-1225     | GHSA-QQPG-MVQG-649V  | -       | < 1.5.25                            | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.17   | CVE-2025-11226    | GHSA-25QH-J22F-PWP8  | -       | < 1.3.16                            | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.17   | CVE-2024-12801    | GHSA-6V67-2WR5-GVF4  | -       | < 1.3.15                            | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.17   | CVE-2024-12798    | GHSA-PR98-23F8-JWXV  | -       | < 1.3.15                            | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.17   | CVE-2023-6481     | GHSA-GM62-RW4G-VRC4  | -       | = 1.2.12                            | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.17   | CVE-2023-6378     | GHSA-VMQ6-5M68-F53M  | -       | < 1.2.13                            | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.17   | CVE-2021-42550    | GHSA-668Q-QRV7-99FM  | -       | < 1.2.9                             | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.17   | CVE-2017-5929     | GHSA-VMFG-RJJM-RJRJ  | -       | < 1.2.0                             | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.21   | CVE-2026-1225     | GHSA-QQPG-MVQG-649V  | -       | < 1.5.25                            | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.21   | CVE-2025-11226    | GHSA-25QH-J22F-PWP8  | -       | < 1.3.16                            | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.21   | CVE-2024-12801    | GHSA-6V67-2WR5-GVF4  | -       | < 1.3.15                            | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.21   | CVE-2024-12798    | GHSA-PR98-23F8-JWXV  | -       | < 1.3.15                            | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.21   | CVE-2023-6481     | GHSA-GM62-RW4G-VRC4  | -       | = 1.2.12                            | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.21   | CVE-2023-6378     | GHSA-VMQ6-5M68-F53M  | -       | < 1.2.13                            | github-advisory-db 
maven      | ch.qos.logback:logback-core          | 1.5.21   | CVE-2021-42550    | GHSA-668Q-QRV7-99FM  | -       | < 1.2.9                             | github-advisory-db 
