Tool Findings (normalized)
===========================
Ground truth : mixed_ground_truth_dataset_20260127T135449Z_103_174
Tool         : nvd
Run ID       : 20260127T193610Z
Total        : 5571 findings

Ecosystem  | Component         | Version  | CVE               | GHSA  | OSV-ID  | Affected-Range  | Source      
----------------------------------------------------------------------------------------------------------------
npm        | follow-redirects  | 1.15.2   | CVE-2023-26159    | -     | -       | < 1.15.2        | nvd-keyword 
npm        | follow-redirects  | 1.15.3   | CVE-2023-26159    | -     | -       | < 1.15.3        | nvd-keyword 
npm        | lodash            | 4.17.16  | CVE-2020-28500    | -     | -       | < 4.17.16       | nvd-keyword 
npm        | lodash            | 4.17.16  | CVE-2021-23337    | -     | -       | < 4.17.16       | nvd-keyword 
npm        | lodash            | 4.17.16  | CVE-2025-13465    | -     | -       | < 4.17.16       | nvd-keyword 
npm        | lodash            | 4.17.17  | CVE-2020-28500    | -     | -       | < 4.17.17       | nvd-keyword 
npm        | lodash            | 4.17.17  | CVE-2021-23337    | -     | -       | < 4.17.17       | nvd-keyword 
npm        | lodash            | 4.17.17  | CVE-2025-13465    | -     | -       | < 4.17.17       | nvd-keyword 
npm        | lodash            | 4.17.18  | CVE-2020-28500    | -     | -       | < 4.17.18       | nvd-keyword 
npm        | lodash            | 4.17.18  | CVE-2021-23337    | -     | -       | < 4.17.18       | nvd-keyword 
npm        | lodash            | 4.17.18  | CVE-2025-13465    | -     | -       | < 4.17.18       | nvd-keyword 
npm        | lodash            | 4.17.19  | CVE-2020-28500    | -     | -       | < 4.17.19       | nvd-keyword 
npm        | lodash            | 4.17.19  | CVE-2021-23337    | -     | -       | < 4.17.19       | nvd-keyword 
npm        | lodash            | 4.17.19  | CVE-2025-13465    | -     | -       | < 4.17.19       | nvd-keyword 
npm        | lodash            | 4.17.20  | CVE-2020-8203     | -     | -       | -               | nvd-keyword 
npm        | lodash            | 4.17.20  | CVE-2020-28500    | -     | -       | < 4.17.20       | nvd-keyword 
npm        | lodash            | 4.17.20  | CVE-2021-23337    | -     | -       | < 4.17.20       | nvd-keyword 
npm        | lodash            | 4.17.20  | CVE-2025-13465    | -     | -       | < 4.17.20       | nvd-keyword 
npm        | lodash            | 4.17.21  | CVE-2020-28500    | -     | -       | -               | nvd-keyword 
npm        | lodash            | 4.17.21  | CVE-2021-23337    | -     | -       | -               | nvd-keyword 
npm        | lodash            | 4.17.21  | CVE-2025-13465    | -     | -       | < 4.17.21       | nvd-keyword 
npm        | minimist          | 1.2.1    | CVE-2020-7598     | -     | -       | < 1.2.1         | nvd-keyword 
npm        | minimist          | 1.2.2    | CVE-2020-7598     | -     | -       | -               | nvd-keyword 
npm        | request           | 2.88.2   | CVE-2000-0380     | -     | -       | < 2.88.2        | nvd-keyword 
npm        | request           | 2.88.2   | CVE-2000-0499     | -     | -       | < 2.88.2        | nvd-keyword 
npm        | request           | 2.88.2   | CVE-2000-0733     | -     | -       | < 2.88.2        | nvd-keyword 
npm        | request           | 2.88.2   | CVE-2000-0850     | -     | -       | < 2.88.2        | nvd-keyword 
