Tool Findings (normalized)
===========================
Ground truth : mixed_ground_truth_dataset_20260127T135449Z_103_174
Tool         : oss-index
Run ID       : 20260127T195700Z
Total        : 162 findings

Ecosystem  | Component                            | Version  | CVE             | GHSA  | OSV-ID  | Affected-Range  | Source   
------------------------------------------------------------------------------------------------------------------------------
maven      | org.apache.commons:commons-lang3     | 3.17.0   | CVE-2025-48924  | -     | -       | -               | ossindex 
maven      | ch.qos.logback:logback-core          | 1.5.21   | CVE-2026-1225   | -     | -       | -               | ossindex 
maven      | org.apache.commons:commons-compress  | 1.21     | CVE-2024-25710  | -     | -       | -               | ossindex 
maven      | org.apache.commons:commons-compress  | 1.21     | CVE-2024-26308  | -     | -       | -               | ossindex 
maven      | org.apache.logging.log4j:log4j-core  | 2.24.1   | CVE-2025-68161  | -     | -       | -               | ossindex 
maven      | org.springframework:spring-core      | 6.2.10   | CVE-2025-41249  | -     | -       | -               | ossindex 
maven      | org.apache.logging.log4j:log4j-core  | 2.25.2   | CVE-2025-68161  | -     | -       | -               | ossindex 
maven      | ch.qos.logback:logback-core          | 1.5.23   | CVE-2026-1225   | -     | -       | -               | ossindex 
maven      | org.apache.commons:commons-compress  | 1.22     | CVE-2023-42503  | -     | -       | -               | ossindex 
maven      | org.apache.commons:commons-compress  | 1.22     | CVE-2024-25710  | -     | -       | -               | ossindex 
maven      | org.apache.commons:commons-compress  | 1.22     | CVE-2024-26308  | -     | -       | -               | ossindex 
maven      | org.apache.commons:commons-lang3     | 3.16.0   | CVE-2025-48924  | -     | -       | -               | ossindex 
maven      | org.apache.logging.log4j:log4j-core  | 2.24.0   | CVE-2025-68161  | -     | -       | -               | ossindex 
maven      | org.apache.commons:commons-lang3     | 3.10     | CVE-2025-48924  | -     | -       | -               | ossindex 
maven      | org.apache.commons:commons-lang3     | 3.12.0   | CVE-2025-48924  | -     | -       | -               | ossindex 
maven      | org.apache.commons:commons-compress  | 1.23.0   | CVE-2023-42503  | -     | -       | -               | ossindex 
maven      | org.apache.commons:commons-compress  | 1.23.0   | CVE-2024-25710  | -     | -       | -               | ossindex 
maven      | org.apache.commons:commons-compress  | 1.23.0   | CVE-2024-26308  | -     | -       | -               | ossindex 
maven      | org.apache.commons:commons-compress  | 1.20     | CVE-2021-35515  | -     | -       | -               | ossindex 
maven      | org.apache.commons:commons-compress  | 1.20     | CVE-2021-35516  | -     | -       | -               | ossindex 
maven      | org.apache.commons:commons-compress  | 1.20     | CVE-2021-35517  | -     | -       | -               | ossindex 
maven      | org.apache.commons:commons-compress  | 1.20     | CVE-2021-36090  | -     | -       | -               | ossindex 
maven      | org.apache.commons:commons-compress  | 1.20     | CVE-2024-25710  | -     | -       | -               | ossindex 
maven      | org.apache.commons:commons-text      | 1.9      | CVE-2022-42889  | -     | -       | -               | ossindex 
maven      | org.springframework:spring-core      | 6.2.8    | CVE-2025-41242  | -     | -       | -               | ossindex 
maven      | org.springframework:spring-core      | 6.2.8    | CVE-2025-41249  | -     | -       | -               | ossindex 
maven      | org.apache.logging.log4j:log4j-core  | 2.23.0   | CVE-2025-68161  | -     | -       | -               | ossindex 
maven      | ch.qos.logback:logback-core          | 1.5.16   | CVE-2025-11226  | -     | -       | -               | ossindex 
maven      | ch.qos.logback:logback-core          | 1.5.16   | CVE-2026-1225   | -     | -       | -               | ossindex 
maven      | ch.qos.logback:logback-core          | 1.5.15   | CVE-2025-11226  | -     | -       | -               | ossindex 
maven      | ch.qos.logback:logback-core          | 1.5.15   | CVE-2026-1225   | -     | -       | -               | ossindex 
maven      | org.apache.logging.log4j:log4j-core  | 2.25.0   | CVE-2025-68161  | -     | -       | -               | ossindex 
maven      | org.apache.commons:commons-compress  | 1.25.0   | CVE-2024-25710  | -     | -       | -               | ossindex 
maven      | org.apache.commons:commons-compress  | 1.25.0   | CVE-2024-26308  | -     | -       | -               | ossindex 
maven      | ch.qos.logback:logback-core          | 1.5.17   | CVE-2025-11226  | -     | -       | -               | ossindex 
maven      | ch.qos.logback:logback-core          | 1.5.17   | CVE-2026-1225   | -     | -       | -               | ossindex 
maven      | org.apache.commons:commons-lang3     | 3.14.0   | CVE-2025-48924  | -     | -       | -               | ossindex 
maven      | org.apache.commons:commons-compress  | 1.24.0   | CVE-2024-25710  | -     | -       | -               | ossindex 
maven      | org.apache.commons:commons-compress  | 1.24.0   | CVE-2024-26308  | -     | -       | -               | ossindex 
maven      | org.apache.commons:commons-lang3     | 3.13.0   | CVE-2025-48924  | -     | -       | -               | ossindex 
maven      | org.springframework:spring-core      | 6.2.9    | CVE-2025-41242  | -     | -       | -               | ossindex 
maven      | org.springframework:spring-core      | 6.2.9    | CVE-2025-41249  | -     | -       | -               | ossindex 
maven      | org.apache.commons:commons-lang3     | 3.11     | CVE-2025-48924  | -     | -       | -               | ossindex 
maven      | ch.qos.logback:logback-core          | 1.5.22   | CVE-2026-1225   | -     | -       | -               | ossindex 
maven      | org.apache.logging.log4j:log4j-core  | 2.24.3   | CVE-2025-68161  | -     | -       | -               | ossindex 
pypi       | jinja2                               | 3.1.2    | CVE-2024-22195  | -     | -       | -               | ossindex 
pypi       | jinja2                               | 3.1.2    | CVE-2024-56201  | -     | -       | -               | ossindex 
pypi       | jinja2                               | 3.1.2    | CVE-2024-56326  | -     | -       | -               | ossindex 
pypi       | jinja2                               | 3.1.2    | CVE-2025-27516  | -     | -       | -               | ossindex 
pypi       | jinja2                               | 3.1.4    | CVE-2024-56201  | -     | -       | -               | ossindex 
pypi       | jinja2                               | 3.1.4    | CVE-2024-56326  | -     | -       | -               | ossindex 
pypi       | jinja2                               | 3.1.4    | CVE-2025-27516  | -     | -       | -               | ossindex 
pypi       | werkzeug                             | 3.1.4    | CVE-2026-21860  | -     | -       | -               | ossindex 
pypi       | urllib3                              | 2.4.0    | CVE-2025-50181  | -     | -       | -               | ossindex 
pypi       | urllib3                              | 2.4.0    | CVE-2025-50182  | -     | -       | -               | ossindex 
pypi       | urllib3                              | 2.4.0    | CVE-2025-66418  | -     | -       | -               | ossindex 
pypi       | urllib3                              | 2.4.0    | CVE-2025-66471  | -     | -       | -               | ossindex 
pypi       | urllib3                              | 2.4.0    | CVE-2026-21441  | -     | -       | -               | ossindex 
pypi       | jinja2                               | 3.1.3    | CVE-2024-34064  | -     | -       | -               | ossindex 
