Tool Findings (normalized)
===========================
Ground truth : mixed_ground_truth_dataset_20260127T135449Z_103_174
Tool         : osv
Run ID       : 20260127T192832Z
Total        : 159 findings

Ecosystem  | Component                            | Version  | CVE             | GHSA                 | OSV-ID               | Affected-Range    | Source 
----------------------------------------------------------------------------------------------------------------------------------------------------------
maven      | org.apache.commons:commons-lang3     | 3.17.0   | CVE-2025-48924  | -                    | GHSA-j288-q9x7-2f5v  | -                 | osv    
maven      | org.apache.commons:commons-compress  | 1.21     | CVE-2024-26308  | -                    | GHSA-4265-ccf5-phj5  | -                 | osv    
maven      | org.apache.commons:commons-compress  | 1.21     | CVE-2024-25710  | -                    | GHSA-4g9r-vxhx-9pgx  | -                 | osv    
maven      | org.springframework:spring-core      | 6.2.10   | CVE-2025-41249  | -                    | GHSA-jmp9-x22r-554x  | -                 | osv    
maven      | org.apache.commons:commons-compress  | 1.22     | CVE-2024-26308  | -                    | GHSA-4265-ccf5-phj5  | -                 | osv    
maven      | org.apache.commons:commons-compress  | 1.22     | CVE-2024-25710  | -                    | GHSA-4g9r-vxhx-9pgx  | -                 | osv    
maven      | org.apache.commons:commons-compress  | 1.22     | CVE-2023-42503  | -                    | GHSA-cgwf-w82q-5jrr  | -                 | osv    
maven      | org.apache.commons:commons-lang3     | 3.16.0   | CVE-2025-48924  | -                    | GHSA-j288-q9x7-2f5v  | -                 | osv    
maven      | org.apache.commons:commons-lang3     | 3.10     | CVE-2025-48924  | -                    | GHSA-j288-q9x7-2f5v  | -                 | osv    
maven      | org.apache.commons:commons-lang3     | 3.12.0   | CVE-2025-48924  | -                    | GHSA-j288-q9x7-2f5v  | -                 | osv    
maven      | org.apache.commons:commons-compress  | 1.23.0   | CVE-2024-26308  | -                    | GHSA-4265-ccf5-phj5  | -                 | osv    
maven      | org.apache.commons:commons-compress  | 1.23.0   | CVE-2024-25710  | -                    | GHSA-4g9r-vxhx-9pgx  | -                 | osv    
maven      | org.apache.commons:commons-compress  | 1.23.0   | CVE-2023-42503  | -                    | GHSA-cgwf-w82q-5jrr  | -                 | osv    
maven      | org.apache.commons:commons-compress  | 1.20     | CVE-2024-25710  | -                    | GHSA-4g9r-vxhx-9pgx  | -                 | osv    
maven      | org.apache.commons:commons-compress  | 1.20     | CVE-2021-35515  | -                    | GHSA-7hfm-57qf-j43q  | -                 | osv    
