Tool Findings (normalized)
===========================
Ground truth : mixed_ground_truth_dataset_20260127T135449Z_103_174
Tool         : snyk
Run ID       : 20260127T194824Z
Total        : 173 findings

Ecosystem  | Component                            | Version  | CVE             | GHSA  | OSV-ID  | Affected-Range                                   | Source 
-------------------------------------------------------------------------------------------------------------------------------------------------------------
maven      | ch.qos.logback:logback-core          | 1.5.15   | CVE-2026-1225   | -     | -       | 1.5.15,1.5.16,1.5.17,1.5.21,1.5.22,1.5.23        | snyk   
maven      | ch.qos.logback:logback-core          | 1.5.16   | CVE-2026-1225   | -     | -       | 1.5.15,1.5.16,1.5.17,1.5.21,1.5.22,1.5.23        | snyk   
maven      | ch.qos.logback:logback-core          | 1.5.17   | CVE-2026-1225   | -     | -       | 1.5.15,1.5.16,1.5.17,1.5.21,1.5.22,1.5.23        | snyk   
maven      | ch.qos.logback:logback-core          | 1.5.21   | CVE-2026-1225   | -     | -       | 1.5.15,1.5.16,1.5.17,1.5.21,1.5.22,1.5.23        | snyk   
maven      | ch.qos.logback:logback-core          | 1.5.22   | CVE-2026-1225   | -     | -       | 1.5.15,1.5.16,1.5.17,1.5.21,1.5.22,1.5.23        | snyk   
maven      | ch.qos.logback:logback-core          | 1.5.23   | CVE-2026-1225   | -     | -       | 1.5.15,1.5.16,1.5.17,1.5.21,1.5.22,1.5.23        | snyk   
npm        | minimist                             | 1.2.1    | CVE-2021-44906  | -     | -       | 1.2.1,1.2.2,1.2.3,1.2.4                          | snyk   
npm        | minimist                             | 1.2.2    | CVE-2021-44906  | -     | -       | 1.2.1,1.2.2,1.2.3,1.2.4                          | snyk   
npm        | minimist                             | 1.2.3    | CVE-2021-44906  | -     | -       | 1.2.1,1.2.2,1.2.3,1.2.4                          | snyk   
npm        | minimist                             | 1.2.4    | CVE-2021-44906  | -     | -       | 1.2.1,1.2.2,1.2.3,1.2.4                          | snyk   
npm        | send                                 | 0.18.0   | CVE-2024-43799  | -     | -       | 0.18.0                                           | snyk   
npm        | serve-static                         | 1.14.2   | CVE-2024-43800  | -     | -       | 1.14.2,1.15.0                                    | snyk   
npm        | serve-static                         | 1.15.0   | CVE-2024-43800  | -     | -       | 1.14.2,1.15.0                                    | snyk   
pypi       | flask                                | 3.1.0    | CVE-2025-47278  | -     | -       | 3.1.0                                            | snyk   
nuget      | System.Data.SqlClient                | 4.5.3    | CVE-2022-41064  | -     | -       | 4.5.3,4.8.1,4.8.2,4.8.3,4.8.4                    | snyk   
nuget      | System.Data.SqlClient                | 4.8.1    | CVE-2022-41064  | -     | -       | 4.5.3,4.8.1,4.8.2,4.8.3,4.8.4                    | snyk   
nuget      | System.Data.SqlClient                | 4.8.2    | CVE-2022-41064  | -     | -       | 4.5.3,4.8.1,4.8.2,4.8.3,4.8.4                    | snyk   
nuget      | System.Data.SqlClient                | 4.8.3    | CVE-2022-41064  | -     | -       | 4.5.3,4.8.1,4.8.2,4.8.3,4.8.4                    | snyk   
