ecosystem,component_name,component_version,purl,vulnerability_id,cve,vulnerability_description,is_vulnerable
maven,ch.qos.logback:logback-core,1.5.23,pkg:maven/ch.qos.logback/logback-core@1.5.23,GHSA-qqpg-mvqg-649v,,Logback allows an attacker to instantiate classes already present on the class path,True
maven,org.apache.kafka:kafka-clients,3.7.2,pkg:maven/org.apache.kafka/kafka-clients@3.7.2,GHSA-vgq5-3255-v292,CVE-2025-27817,Apache Kafka Client Arbitrary File Read and Server Side Request Forgery Vulnerability,True
maven,commons-net:commons-net,3.6,pkg:maven/commons-net/commons-net@3.6,GHSA-cgp8-4m63-fhh5,CVE-2021-37533,Apache Commons Net vulnerable to information leakage via malicious server,True
maven,org.apache.velocity:velocity,1.5,pkg:maven/org.apache.velocity/velocity@1.5,GHSA-59j4-wjwp-mw9m,CVE-2020-13936,Sandbox Bypass in Apache Velocity Engine,True
maven,org.apache.kafka:kafka-clients,3.8.0,pkg:maven/org.apache.kafka/kafka-clients@3.8.0,GHSA-vgq5-3255-v292,CVE-2025-27817,Apache Kafka Client Arbitrary File Read and Server Side Request Forgery Vulnerability,True
maven,mysql:mysql-connector-java,8.0.26,pkg:maven/mysql/mysql-connector-java@8.0.26,GHSA-g76j-4cxx-23h9,CVE-2022-21363,Improper Handling of Insufficient Permissions or Privileges in MySQL Connectors Java,True
maven,mysql:mysql-connector-java,8.0.26,pkg:maven/mysql/mysql-connector-java@8.0.26,GHSA-m6vm-37g8-gqvh,CVE-2023-22102,MySQL Connectors takeover vulnerability,True
maven,mysql:mysql-connector-java,8.0.26,pkg:maven/mysql/mysql-connector-java@8.0.26,GHSA-w6f2-8wx4-47r5,CVE-2021-2471,Incorrect Authorization in MySQL Connector Java,True
maven,org.apache.tomcat.embed:tomcat-embed-core,11.0.8,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@11.0.8,GHSA-gqp3-2cvr-x8m3,CVE-2025-48989,Apache Tomcat Improper Resource Shutdown or Release vulnerability,True
maven,org.apache.tomcat.embed:tomcat-embed-core,11.0.8,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@11.0.8,GHSA-hgrr-935x-pq79,CVE-2025-61795,Apache Tomcat Vulnerable to Improper Resource Shutdown or Release,True
maven,org.apache.tomcat.embed:tomcat-embed-core,11.0.8,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@11.0.8,GHSA-vfww-5hm6-hx2j,CVE-2025-55754,"Apache Tomcat Vulnerable to Improper Neutralization of Escape, Meta, or Control Sequences",True
maven,org.apache.tomcat.embed:tomcat-embed-core,11.0.8,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@11.0.8,GHSA-wmwf-9ccg-fff5,CVE-2025-55752,Apache Tomcat Vulnerable to Relative Path Traversal,True
maven,org.apache.commons:commons-compress,1.21,pkg:maven/org.apache.commons/commons-compress@1.21,GHSA-4265-ccf5-phj5,CVE-2024-26308,Apache Commons Compress: OutOfMemoryError unpacking broken Pack200 file,True
maven,org.apache.commons:commons-compress,1.21,pkg:maven/org.apache.commons/commons-compress@1.21,GHSA-4g9r-vxhx-9pgx,CVE-2024-25710,Apache Commons Compress: Denial of service caused by an infinite loop for a corrupted DUMP file,True
maven,org.apache.logging.log4j:log4j-core,2.24.0,pkg:maven/org.apache.logging.log4j/log4j-core@2.24.0,GHSA-vc5p-v9hr-52mj,,Apache Log4j does not verify the TLS hostname in its Socket Appender,True
maven,org.apache.commons:commons-text,1.9,pkg:maven/org.apache.commons/commons-text@1.9,GHSA-599f-7c49-w659,CVE-2022-42889,Arbitrary code execution in Apache Commons Text,True
maven,org.apache.poi:poi-ooxml,5.2.4,pkg:maven/org.apache.poi/poi-ooxml@5.2.4,GHSA-gmg8-593g-7mv3,CVE-2025-31672,Apache POI OOXML Vulnerable to Improper Input Validation in OOXML File Parsing,True
maven,org.bouncycastle:bcprov-jdk15on,1.62,pkg:maven/org.bouncycastle/bcprov-jdk15on@1.62,GHSA-6xx3-rg99-gc3p,CVE-2020-15522,Timing based private key exposure in Bouncy Castle,True
maven,org.bouncycastle:bcprov-jdk15on,1.62,pkg:maven/org.bouncycastle/bcprov-jdk15on@1.62,GHSA-8xfc-gm6g-vgpv,CVE-2024-29857,Bouncy Castle certificate parsing issues cause high CPU usage during parameter evaluation.,True
maven,org.bouncycastle:bcprov-jdk15on,1.62,pkg:maven/org.bouncycastle/bcprov-jdk15on@1.62,GHSA-hr8g-6v94-x4m9,CVE-2023-33201,Bouncy Castle For Java LDAP injection vulnerability,True
maven,org.bouncycastle:bcprov-jdk15on,1.62,pkg:maven/org.bouncycastle/bcprov-jdk15on@1.62,GHSA-v435-xc8x-wvr9,CVE-2024-30171,"Bouncy Castle affected by timing side-channel for RSA key exchange (""The Marvin Attack"")",True
maven,org.bouncycastle:bcprov-jdk15on,1.62,pkg:maven/org.bouncycastle/bcprov-jdk15on@1.62,GHSA-wjxj-5m7g-mg7q,CVE-2023-33202,Bouncy Castle Denial of Service (DoS),True
maven,org.apache.shiro:shiro-core,1.11.0,pkg:maven/org.apache.shiro/shiro-core@1.11.0,GHSA-jc7h-c423-mpjc,CVE-2023-46749,Apache Shiro vulnerable to path traversal,True
maven,org.apache.kafka:kafka-clients,3.7.1,pkg:maven/org.apache.kafka/kafka-clients@3.7.1,GHSA-vgq5-3255-v292,CVE-2025-27817,Apache Kafka Client Arbitrary File Read and Server Side Request Forgery Vulnerability,True
maven,mysql:mysql-connector-java,8.0.24,pkg:maven/mysql/mysql-connector-java@8.0.24,GHSA-g76j-4cxx-23h9,CVE-2022-21363,Improper Handling of Insufficient Permissions or Privileges in MySQL Connectors Java,True
maven,mysql:mysql-connector-java,8.0.24,pkg:maven/mysql/mysql-connector-java@8.0.24,GHSA-m6vm-37g8-gqvh,CVE-2023-22102,MySQL Connectors takeover vulnerability,True
maven,mysql:mysql-connector-java,8.0.24,pkg:maven/mysql/mysql-connector-java@8.0.24,GHSA-w6f2-8wx4-47r5,CVE-2021-2471,Incorrect Authorization in MySQL Connector Java,True
maven,org.apache.zookeeper:zookeeper,3.8.2,pkg:maven/org.apache.zookeeper/zookeeper@3.8.2,GHSA-7286-pgfv-vxvh,CVE-2023-44981,Authorization Bypass Through User-Controlled Key vulnerability in Apache ZooKeeper,True
maven,org.apache.zookeeper:zookeeper,3.8.2,pkg:maven/org.apache.zookeeper/zookeeper@3.8.2,GHSA-r978-9m6m-6gm6,CVE-2024-23944,Apache ZooKeeper vulnerable to information disclosure in persistent watchers handling,True
maven,org.yaml:snakeyaml,1.28,pkg:maven/org.yaml/snakeyaml@1.28,GHSA-3mc7-4q67-w48m,CVE-2022-25857,Uncontrolled Resource Consumption in snakeyaml,True
maven,org.yaml:snakeyaml,1.28,pkg:maven/org.yaml/snakeyaml@1.28,GHSA-98wm-3w3q-mw94,CVE-2022-38751,snakeYAML before 1.31 vulnerable to Denial of Service due to Out-of-bounds Write,True
maven,org.yaml:snakeyaml,1.28,pkg:maven/org.yaml/snakeyaml@1.28,GHSA-9w3m-gqgf-c4p9,CVE-2022-38752,snakeYAML before 1.32 vulnerable to Denial of Service due to Out-of-bounds Write,True
maven,org.yaml:snakeyaml,1.28,pkg:maven/org.yaml/snakeyaml@1.28,GHSA-c4r9-r8fh-9vj2,CVE-2022-38749,snakeYAML before 1.31 vulnerable to Denial of Service due to Out-of-bounds Write,True
