Tool Findings (normalized)
===========================
Ground truth : mixed_ground_truth_dataset_20260126T232109Z_496_1224
Tool         : dtrack
Run ID       : 20260127T134911Z
Total        : 650 findings

Ecosystem  | Component                             | Version   | CVE             | GHSA  | OSV-ID  | Affected-Range  | Source           
----------------------------------------------------------------------------------------------------------------------------------------
maven      | commons-net:commons-net               | 3.6       | CVE-2021-37533  | -     | -       | -               | dependency-track 
maven      | org.apache.commons:commons-compress   | 1.21      | CVE-2024-25710  | -     | -       | -               | dependency-track 
maven      | org.apache.commons:commons-compress   | 1.21      | CVE-2024-26308  | -     | -       | -               | dependency-track 
maven      | org.apache.commons:commons-text       | 1.9       | CVE-2022-42889  | -     | -       | -               | dependency-track 
maven      | org.apache.zookeeper:zookeeper        | 3.8.2     | CVE-2023-44981  | -     | -       | -               | dependency-track 
maven      | org.apache.zookeeper:zookeeper        | 3.8.2     | CVE-2024-23944  | -     | -       | -               | dependency-track 
maven      | org.yaml:snakeyaml                    | 1.28      | CVE-2022-1471   | -     | -       | -               | dependency-track 
maven      | org.yaml:snakeyaml                    | 1.28      | CVE-2022-25857  | -     | -       | -               | dependency-track 
maven      | org.yaml:snakeyaml                    | 1.28      | CVE-2022-38749  | -     | -       | -               | dependency-track 
maven      | org.yaml:snakeyaml                    | 1.28      | CVE-2022-38750  | -     | -       | -               | dependency-track 
maven      | org.yaml:snakeyaml                    | 1.28      | CVE-2022-38751  | -     | -       | -               | dependency-track 
maven      | org.yaml:snakeyaml                    | 1.28      | CVE-2022-38752  | -     | -       | -               | dependency-track 
maven      | org.yaml:snakeyaml                    | 1.28      | CVE-2022-41854  | -     | -       | -               | dependency-track 
maven      | com.google.guava:guava                | 22.0      | CVE-2023-2976   | -     | -       | -               | dependency-track 
maven      | com.google.guava:guava                | 22.0      | CVE-2020-8908   | -     | -       | -               | dependency-track 
maven      | com.google.guava:guava                | 22.0      | CVE-2018-10237  | -     | -       | -               | dependency-track 
maven      | commons-net:commons-net               | 3.7.1     | CVE-2021-37533  | -     | -       | -               | dependency-track 
maven      | junit:junit                           | 4.8.2     | CVE-2023-25761  | -     | -       | -               | dependency-track 
maven      | junit:junit                           | 4.8.2     | CVE-2022-34176  | -     | -       | -               | dependency-track 
maven      | junit:junit                           | 4.8.2     | CVE-2022-45380  | -     | -       | -               | dependency-track 
maven      | junit:junit                           | 4.8.2     | CVE-2020-15250  | -     | -       | -               | dependency-track 
maven      | junit:junit                           | 4.8.1     | CVE-2023-25761  | -     | -       | -               | dependency-track 
maven      | junit:junit                           | 4.8.1     | CVE-2022-34176  | -     | -       | -               | dependency-track 
maven      | junit:junit                           | 4.8.1     | CVE-2022-45380  | -     | -       | -               | dependency-track 
maven      | junit:junit                           | 4.8.1     | CVE-2020-15250  | -     | -       | -               | dependency-track 
maven      | junit:junit                           | 4.7       | CVE-2023-25761  | -     | -       | -               | dependency-track 
maven      | junit:junit                           | 4.7       | CVE-2022-34176  | -     | -       | -               | dependency-track 
maven      | junit:junit                           | 4.7       | CVE-2022-45380  | -     | -       | -               | dependency-track 
maven      | junit:junit                           | 4.7       | CVE-2020-15250  | -     | -       | -               | dependency-track 
maven      | org.apache.httpcomponents:httpclient  | 4.5.12    | CVE-2020-13956  | -     | -       | -               | dependency-track 
maven      | org.apache.httpcomponents:httpclient  | 4.5.12    | CVE-2024-50342  | -     | -       | -               | dependency-track 
maven      | org.apache.ant:ant                    | 1.10.5    | CVE-2021-36373  | -     | -       | -               | dependency-track 
maven      | org.apache.ant:ant                    | 1.10.5    | CVE-2021-36374  | -     | -       | -               | dependency-track 
maven      | org.apache.ant:ant                    | 1.10.5    | CVE-2020-1945   | -     | -       | -               | dependency-track 
maven      | com.google.guava:guava                | 21.0      | CVE-2023-2976   | -     | -       | -               | dependency-track 
maven      | com.google.guava:guava                | 21.0      | CVE-2020-8908   | -     | -       | -               | dependency-track 
maven      | com.google.guava:guava                | 21.0      | CVE-2018-10237  | -     | -       | -               | dependency-track 
maven      | org.apache.ant:ant                    | 1.10.8    | CVE-2021-36373  | -     | -       | -               | dependency-track 
maven      | org.apache.ant:ant                    | 1.10.8    | CVE-2021-36374  | -     | -       | -               | dependency-track 
maven      | org.apache.ant:ant                    | 1.10.8    | CVE-2020-11979  | -     | -       | -               | dependency-track 
maven      | com.google.guava:guava                | 14.0.1    | CVE-2023-2976   | -     | -       | -               | dependency-track 
maven      | com.google.guava:guava                | 14.0.1    | CVE-2020-8908   | -     | -       | -               | dependency-track 
maven      | com.google.guava:guava                | 14.0.1    | CVE-2018-10237  | -     | -       | -               | dependency-track 
maven      | com.google.guava:guava                | 20.0      | CVE-2023-2976   | -     | -       | -               | dependency-track 
maven      | com.google.guava:guava                | 20.0      | CVE-2020-8908   | -     | -       | -               | dependency-track 
maven      | com.google.guava:guava                | 20.0      | CVE-2018-10237  | -     | -       | -               | dependency-track 
maven      | org.apache.ant:ant                    | 1.10.9    | CVE-2021-36373  | -     | -       | -               | dependency-track 
maven      | org.apache.ant:ant                    | 1.10.9    | CVE-2021-36374  | -     | -       | -               | dependency-track 
maven      | org.yaml:snakeyaml                    | 1.29      | CVE-2022-1471   | -     | -       | -               | dependency-track 
maven      | org.yaml:snakeyaml                    | 1.29      | CVE-2022-25857  | -     | -       | -               | dependency-track 
maven      | org.yaml:snakeyaml                    | 1.29      | CVE-2022-38749  | -     | -       | -               | dependency-track 
maven      | org.yaml:snakeyaml                    | 1.29      | CVE-2022-38750  | -     | -       | -               | dependency-track 
maven      | org.yaml:snakeyaml                    | 1.29      | CVE-2022-38751  | -     | -       | -               | dependency-track 
maven      | org.yaml:snakeyaml                    | 1.29      | CVE-2022-38752  | -     | -       | -               | dependency-track 
maven      | org.yaml:snakeyaml                    | 1.29      | CVE-2022-41854  | -     | -       | -               | dependency-track 
maven      | org.postgresql:postgresql             | 42.7.5    | CVE-2019-3466   | -     | -       | -               | dependency-track 
maven      | org.postgresql:postgresql             | 42.7.5    | CVE-2025-49146  | -     | -       | -               | dependency-track 
maven      | org.yaml:snakeyaml                    | 1.30      | CVE-2022-1471   | -     | -       | -               | dependency-track 
maven      | org.yaml:snakeyaml                    | 1.30      | CVE-2022-25857  | -     | -       | -               | dependency-track 
maven      | org.yaml:snakeyaml                    | 1.30      | CVE-2022-38749  | -     | -       | -               | dependency-track 
maven      | org.yaml:snakeyaml                    | 1.30      | CVE-2022-38750  | -     | -       | -               | dependency-track 
maven      | org.yaml:snakeyaml                    | 1.30      | CVE-2022-38751  | -     | -       | -               | dependency-track 
maven      | org.yaml:snakeyaml                    | 1.30      | CVE-2022-38752  | -     | -       | -               | dependency-track 
maven      | org.yaml:snakeyaml                    | 1.30      | CVE-2022-41854  | -     | -       | -               | dependency-track 
