Tool Findings (normalized)
===========================
Ground truth : mixed_ground_truth_dataset_20260126T232109Z_496_1224
Tool         : osv
Run ID       : 20260127T134018Z
Total        : 1066 findings

Ecosystem  | Component                                  | Version   | CVE             | GHSA                 | OSV-ID               | Affected-Range          | Source 
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------
maven      | org.apache.kafka:kafka-clients             | 3.7.2     | CVE-2025-27817  | -                    | GHSA-vgq5-3255-v292  | -                       | osv    
maven      | commons-net:commons-net                    | 3.6       | CVE-2021-37533  | -                    | GHSA-cgp8-4m63-fhh5  | -                       | osv    
maven      | org.apache.velocity:velocity               | 1.5       | CVE-2020-13936  | -                    | GHSA-59j4-wjwp-mw9m  | <2.3                    | osv    
maven      | org.apache.kafka:kafka-clients             | 3.8.0     | CVE-2025-27817  | -                    | GHSA-vgq5-3255-v292  | -                       | osv    
maven      | mysql:mysql-connector-java                 | 8.0.26    | CVE-2022-21363  | -                    | GHSA-g76j-4cxx-23h9  | -                       | osv    
maven      | mysql:mysql-connector-java                 | 8.0.26    | CVE-2023-22102  | -                    | GHSA-m6vm-37g8-gqvh  | <8.2.0                  | osv    
maven      | mysql:mysql-connector-java                 | 8.0.26    | CVE-2021-2471   | -                    | GHSA-w6f2-8wx4-47r5  | -                       | osv    
maven      | org.apache.tomcat.embed:tomcat-embed-core  | 11.0.8    | CVE-2025-48989  | -                    | GHSA-gqp3-2cvr-x8m3  | -                       | osv    
maven      | org.apache.tomcat.embed:tomcat-embed-core  | 11.0.8    | CVE-2025-61795  | -                    | GHSA-hgrr-935x-pq79  | -                       | osv    
maven      | org.apache.tomcat.embed:tomcat-embed-core  | 11.0.8    | CVE-2025-55754  | -                    | GHSA-vfww-5hm6-hx2j  | -                       | osv    
maven      | org.apache.tomcat.embed:tomcat-embed-core  | 11.0.8    | CVE-2025-55752  | -                    | GHSA-wmwf-9ccg-fff5  | -                       | osv    
maven      | org.apache.commons:commons-compress        | 1.21      | CVE-2024-26308  | -                    | GHSA-4265-ccf5-phj5  | -                       | osv    
maven      | org.apache.commons:commons-compress        | 1.21      | CVE-2024-25710  | -                    | GHSA-4g9r-vxhx-9pgx  | -                       | osv    
maven      | org.apache.commons:commons-text            | 1.9       | CVE-2022-42889  | -                    | GHSA-599f-7c49-w659  | -                       | osv    
maven      | org.apache.poi:poi-ooxml                   | 5.2.4     | CVE-2025-31672  | -                    | GHSA-gmg8-593g-7mv3  | -                       | osv    
maven      | org.bouncycastle:bcprov-jdk15on            | 1.62      | CVE-2020-15522  | -                    | GHSA-6xx3-rg99-gc3p  | -                       | osv    
maven      | org.bouncycastle:bcprov-jdk15on            | 1.62      | CVE-2024-29857  | -                    | GHSA-8xfc-gm6g-vgpv  | <1.78                   | osv    
maven      | org.bouncycastle:bcprov-jdk15on            | 1.62      | CVE-2023-33201  | -                    | GHSA-hr8g-6v94-x4m9  | <1.74                   | osv    
maven      | org.bouncycastle:bcprov-jdk15on            | 1.62      | CVE-2024-30171  | -                    | GHSA-v435-xc8x-wvr9  | <1.78                   | osv    
maven      | org.bouncycastle:bcprov-jdk15on            | 1.62      | CVE-2023-33202  | -                    | GHSA-wjxj-5m7g-mg7q  | <1.73                   | osv    
maven      | org.apache.shiro:shiro-core                | 1.11.0    | CVE-2023-46749  | -                    | GHSA-jc7h-c423-mpjc  | -                       | osv    
maven      | org.apache.kafka:kafka-clients             | 3.7.1     | CVE-2025-27817  | -                    | GHSA-vgq5-3255-v292  | -                       | osv    
maven      | mysql:mysql-connector-java                 | 8.0.24    | CVE-2022-21363  | -                    | GHSA-g76j-4cxx-23h9  | -                       | osv    
maven      | mysql:mysql-connector-java                 | 8.0.24    | CVE-2023-22102  | -                    | GHSA-m6vm-37g8-gqvh  | <8.2.0                  | osv    
maven      | mysql:mysql-connector-java                 | 8.0.24    | CVE-2021-2471   | -                    | GHSA-w6f2-8wx4-47r5  | -                       | osv    
maven      | org.apache.zookeeper:zookeeper             | 3.8.2     | CVE-2023-44981  | -                    | GHSA-7286-pgfv-vxvh  | -                       | osv    
