Tool Findings (normalized)
===========================
Ground truth : mixed_ground_truth_dataset_20260126T232109Z_496_1224
Tool         : snyk
Run ID       : 20260127T140455Z
Total        : 1205 findings

Ecosystem  | Component                                  | Version   | CVE             | GHSA  | OSV-ID  | Affected-Range                                                                                                           | Source 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
maven      | ch.qos.logback:logback-core                | 1.5.16    | CVE-2026-1225   | -     | -       | 1.5.16,1.5.17,1.5.18,1.5.19,1.5.20,1.5.21,1.5.22,1.5.23,1.5.24                                                           | snyk   
maven      | ch.qos.logback:logback-core                | 1.5.17    | CVE-2026-1225   | -     | -       | 1.5.16,1.5.17,1.5.18,1.5.19,1.5.20,1.5.21,1.5.22,1.5.23,1.5.24                                                           | snyk   
maven      | ch.qos.logback:logback-core                | 1.5.18    | CVE-2026-1225   | -     | -       | 1.5.16,1.5.17,1.5.18,1.5.19,1.5.20,1.5.21,1.5.22,1.5.23,1.5.24                                                           | snyk   
maven      | ch.qos.logback:logback-core                | 1.5.19    | CVE-2026-1225   | -     | -       | 1.5.16,1.5.17,1.5.18,1.5.19,1.5.20,1.5.21,1.5.22,1.5.23,1.5.24                                                           | snyk   
maven      | ch.qos.logback:logback-core                | 1.5.20    | CVE-2026-1225   | -     | -       | 1.5.16,1.5.17,1.5.18,1.5.19,1.5.20,1.5.21,1.5.22,1.5.23,1.5.24                                                           | snyk   
maven      | ch.qos.logback:logback-core                | 1.5.21    | CVE-2026-1225   | -     | -       | 1.5.16,1.5.17,1.5.18,1.5.19,1.5.20,1.5.21,1.5.22,1.5.23,1.5.24                                                           | snyk   
maven      | ch.qos.logback:logback-core                | 1.5.22    | CVE-2026-1225   | -     | -       | 1.5.16,1.5.17,1.5.18,1.5.19,1.5.20,1.5.21,1.5.22,1.5.23,1.5.24                                                           | snyk   
maven      | ch.qos.logback:logback-core                | 1.5.23    | CVE-2026-1225   | -     | -       | 1.5.16,1.5.17,1.5.18,1.5.19,1.5.20,1.5.21,1.5.22,1.5.23,1.5.24                                                           | snyk   
maven      | ch.qos.logback:logback-core                | 1.5.24    | CVE-2026-1225   | -     | -       | 1.5.16,1.5.17,1.5.18,1.5.19,1.5.20,1.5.21,1.5.22,1.5.23,1.5.24                                                           | snyk   
maven      | com.google.guava:guava                     | 14.0      | CVE-2020-8908   | -     | -       | 14.0,14.0.1,15.0,16.0,16.0.1,17.0,19.0,20.0,21.0,22.0,23.0                                                               | snyk   
maven      | com.google.guava:guava                     | 14.0.1    | CVE-2020-8908   | -     | -       | 14.0,14.0.1,15.0,16.0,16.0.1,17.0,19.0,20.0,21.0,22.0,23.0                                                               | snyk   
maven      | com.google.guava:guava                     | 15.0      | CVE-2020-8908   | -     | -       | 14.0,14.0.1,15.0,16.0,16.0.1,17.0,19.0,20.0,21.0,22.0,23.0                                                               | snyk   
maven      | com.google.guava:guava                     | 16.0      | CVE-2020-8908   | -     | -       | 14.0,14.0.1,15.0,16.0,16.0.1,17.0,19.0,20.0,21.0,22.0,23.0                                                               | snyk   
maven      | com.google.guava:guava                     | 16.0.1    | CVE-2020-8908   | -     | -       | 14.0,14.0.1,15.0,16.0,16.0.1,17.0,19.0,20.0,21.0,22.0,23.0                                                               | snyk   
maven      | com.google.guava:guava                     | 17.0      | CVE-2020-8908   | -     | -       | 14.0,14.0.1,15.0,16.0,16.0.1,17.0,19.0,20.0,21.0,22.0,23.0                                                               | snyk   
maven      | com.google.guava:guava                     | 19.0      | CVE-2020-8908   | -     | -       | 14.0,14.0.1,15.0,16.0,16.0.1,17.0,19.0,20.0,21.0,22.0,23.0                                                               | snyk   
maven      | com.google.guava:guava                     | 20.0      | CVE-2020-8908   | -     | -       | 14.0,14.0.1,15.0,16.0,16.0.1,17.0,19.0,20.0,21.0,22.0,23.0                                                               | snyk   
